tweet_text,label,url
Sokağa döküp üstüne video çekme barbarlığı yerine milletin kursağına göndermiş kral. Allah birini bin etsin,nonproduct,https://twitter.com/kvaratskhelia61/status/1943279625674838285
"Sokak röportajı:  ""Bir evde 4 kişi var, 4 telefon var. Az harcasınlar. Şu 40 liraysa, yarım kilo al.  Alım gücü düşmedi. Devletimizin hiç de bir kabahati yok.""",nonproduct,https://twitter.com/etkiIihaber1/status/1943582923472384334
"Almanya'ya yerleşen bir Türk:  ""Bugün iş yerinde biri iyi nefes alamadığı için acil yardım istendi, ambulans helikopter geldi.  Türkiye'de öğrenciyken bir kafede çalışıyordum. Panik atak krizi geçirip nefes alamamıştım, su iç geçer, akşam servisi başlayacak demişlerdi.""",nonproduct,https://twitter.com/etkiIihaber1/status/1943316225179910599
1.78 boyunda olan erkeklere cok dikkat edin hepsi cok komik kisilikler bi anda kendinizi asik olmus buluyorsunuz,nonproduct,https://twitter.com/kahveiciorum/status/1943408019519475847
Şerbeti ocakta unutan bir vatandaş:  “Kızım şerbete bakmayı unutmuş. Şerbet 40 dakikada bildiğin kömür olmuş. Şeker diye kimyasal satıyorlar.  Daha önce de şerbeti yaktığım oldu ama sadece koyu kahverengi bir renk olmuştu. Hayatımda ilk defa yaşadığım olay…”,nonproduct,https://twitter.com/denetlecomtr/status/1943411279474925672
Kurt sadece yediği ayazı değil bugün yediği sıcağı da unutmamalı,nonproduct,https://twitter.com/acerseverr/status/1943268715698458821
Süper güç arif keser taksisine binen kız çok centilmensin dediği için aşık oldu ksksksldkdldçd,nonproduct,https://twitter.com/acerseverr/status/1943073763240640821
"seni saklarım aklımdaki düşten, gözümdeki yaştan,  uçan kuştan.",nonproduct,https://twitter.com/bubiletcomtr/status/1943035886108635597
Akasya durağında öğretmen olan mehmet hoca boş vakitlerinde taksicilik yapıyordu her bölüm durakta oturuyor aq bu kadar boş vakitleri oluyo mu öğretmenlerin,nonproduct,https://twitter.com/acerseverr/status/1942956922396893572
"Çok ayıp edildi bu adama çok. Nuri baba herkese hisse verdi bu adama vermedi,  eşi menapoza girmişti bi kızı sakattı bı kızı kocaya gitti oğlu desen müptezelin birisiydi, bütün bunlar yetmezmiş gibi taksi sürerken öğrencisine yakalandı mücadeleyi hiç bırakmadı hocam",nonproduct,https://twitter.com/ogztrk2/status/1942958938447868082
Ne olursa olsun başkentin bir takımı 500bin euroyu denkleştirip ödeyemiyorsa ve bunu kamuoyuyla paylaşma gereği duyacak kadar zor durumdaysa kulübün kapanması en doğru seçenek,nonproduct,https://twitter.com/acerseverr/status/1942903443003478525
benim 3 kişiliğim var:  konuşmam. çok konuşurum. kendi kendime konuşurum,nonproduct,https://twitter.com/kerimkii/status/1937209025000624289
"Yaklaşık 6 ay kadar ne yesem kusmuştum sürekli acildeydim. En son 40 kgydim, yaşım 22. Doktor en son 39,9 görürsem yatış veririm sana dedi.  Okulda da son senem son dönemim ödüm koptu bitiremem diye. Kussam bile sürekli ağzıma bir şeyler tıkıyordum. Kilo vermemek için. Hayatımda+",nonproduct,https://twitter.com/ofamanbktm/status/1933990899434041694
Takı takmaktan daha güzel bir şey varsa o da daha çok takı takmaktır,nonproduct,https://twitter.com/yarenklii/status/1931804614011367836
şöyle bir childhood dream paylaşayım: first day in a high tech company,nonproduct,https://twitter.com/attorneydev/status/1697612646596378978
"merhabalar, bilgisayar mühendisliği 3. sınıf öğrencisiyim yapay zeka alanında zorunlu yaz stajı arıyorum open positionlar var mı acaba",nonproduct,https://twitter.com/fabalousme/status/1907880750097035507
"Yıl 2015 Rahmetli Haydar Baş Hoca: Türkiye'yi bölme senaryosu harekete geçtiğinde Akp, Mhp, Hdp bir olup Türkiye'yi bölecekler. Chp de göstermelik muhalefet yapacak.",nonproduct,https://twitter.com/m_katfar/status/1943620976035397772
Keşke aylık takı için ayrı bir param ols o parayı sadece takılara versem ve tüm takıları alabilsem çok güzel olmaz mıydı,nonproduct,https://twitter.com/yapicamya/status/1894476308500959464
"Hepimize tiyatro izletiyor operasyon çocukları. 3-5 göstermelik silah bırakma, öpüşüp koklaşma, kapanış. Silahlar nerede ulan, uçaksavarları nerede, mayınları nerede? Şu olanlara inanıp mutlu oluyorsa bir yurttaş, önce namusunu ve kanını sorgulasın.  Aşağılık şerefsizler.",nonproduct,https://twitter.com/zynp_306/status/1943616204448403778
Bi öyle bi böyle oynayın aferin olum size tüm yol arkadaşlarınızı alırlar içeri siz devam edin bu çizgiden,nonproduct,https://twitter.com/EmreTutuncigil/status/1943666944374157731
"dolar bugün 40 tl yiğit. makam mevki uğruna binlerce insana yalan attın, ekran önünde cahil cühelayı manipüle ettin. tüm yalanlarına yalamalarına değdi mi yiğit bulut?  bak şimdi nasıl anılıyorsun. bir insan nasıl yaşarsa öyle ölür.",nonproduct,https://twitter.com/burkicoo/status/1943581333113991245
Erdemli Ülkü Ocakları olası yangında ilk müdahale adına ormanlara pet şişe içerisinde sular bıraktı.,nonproduct,https://twitter.com/etkiIihaber1/status/1943290995258347649
"ne de üstün üstün sigara içiyor, üstün üstün sakalı saçı beyazlamış, nede üstün işler yapıyor maşallah...  Allah ıslah etsin.",nonproduct,https://twitter.com/dtvalinor/status/1943547303727431879
"olum gidin önce bir iman edin lan. ""allah beni üstün yarattı çünkü ben türküm"".. basbaya küfür bu söz. inandığın dinden haberiniz yok olum",nonproduct,https://twitter.com/yoklukfedaisi/status/1943653922088112331
hicbir is iscinin canindan kiymetli degildir dunyayi donduren iscilerin elleridir,nonproduct,https://twitter.com/cakbibeslik5/status/1942635040237855208
Yerin dibine batsın çözüm süreciniz Donunuza kadar da şehitler için bağış yapsanız siz bu coğrafyada sadece terörist olarak anılacaksınız ciğerimizi yaktınız ciğerimizi şerefsizler,nonproduct,https://twitter.com/cakbibeslik5/status/1942176877319217402
ilerde kocam bu dunyada her seyini kaybetse bes parasiz kalsa bile ben yaninda olurum onu birakmam ama eve kedi almama izin vermezse kocami birakirim,nonproduct,https://twitter.com/cakbibeslik5/status/1941118225351393719
"YTÜ öğrencileri mezuniyet töreninde kayyum rektöre sırtlarını döndü. Protestoya aileler de destek verdi. Rektör protesto yapan öğrencilere “Herkes kendine yakışanı yapar, biz devam edelim, herkes özgür"" şeklinde cevap verdi.",nonproduct,https://twitter.com/nocontextytu777/status/1940726868354933156
evde bes dakka fazla yatip telefona bakinca pederin ben senin yasindayken isimli hikayelerini dinlerken,nonproduct,https://twitter.com/cakbibeslik5/status/1940137120833704122
"soykırıma ses çıkarmanız için o toplumun size göre ""makul"" olması gerekiyorsa, bok gibi insanlarsınız. filistin herkesin kanayan yarası olmalı. aksini düşünenlerin nasıl pis kalplere sahip olduğunu alıntı ve mentionlarda görebilirsiniz. bayrağı ters tutmuşuz, bizim ayıbımız olsun",nonproduct,https://twitter.com/devrimeselam/status/1939739645559894422
Erkeklerin fikri umrumuzda değil Erkeklerin fikri umrumuzda değil Erkeklerin fikri umrumuzda değil Erkeklerin fikri umrumuzda değil,nonproduct,https://twitter.com/_fkryee/status/1917695296219320360
Adamların silah bırakma tiyatrosu için seçtikleri mağara Kurtuluş Savaşımız sırasında Musul’u İngilizlerden geri alma faaliyetlerini yürüten Özdemir Paşa'nın üs olarak kullandığı Cesena Mağarası. Burada bile mesaj veriyorlar.,nonproduct,https://twitter.com/turkhafiza1/status/1943582927566074264
"Terörsüz Türkiye hepimizin arzu ettiği bir şey elbette… Ama tiyatroya dönen bugünkü haliyle değil. Yaşadığımız ikinci Habur olayıdır. 30 teröristi bir alana toplayıp, üç beş silahı yakma görüntüsü inandırıcı değildir.",nonproduct,https://twitter.com/vekilince/status/1943666016225022315
